customer_id,txn_ts,amount,currency,merchant_cat,channel,country,is_chargeback
1,2024-01-07,30.19,USD,entertainment,atm,SG,False
1,2024-01-07,105.66,USD,electronics,pos,NG,True
1,2024-01-25,217.86,USD,grocery,online,IN,False
1,2024-01-01,227.34,USD,travel,pos,RU,False
1,2024-01-03,81.76,USD,crypto,online,RU,True
1,2024-01-15,108.46,USD,electronics,online,UK,False
1,2024-01-06,33.26,USD,entertainment,pos,US,False
1,2024-01-06,73.32,USD,travel,pos,UK,False
1,2024-01-01,72.46,USD,gambling,pos,RU,False
1,2024-01-01,187.37,USD,grocery,pos,SG,False
1,2024-01-02,57.0,USD,gambling,online,US,False
1,2024-01-01,171.89,USD,grocery,online,DE,False
1,2024-01-01,131.52,USD,entertainment,online,UK,False
1,2024-01-01,37.44,USD,gambling,pos,US,False
1,2024-01-02,185.03,USD,entertainment,atm,US,False
1,2024-01-18,37.76,USD,crypto,pos,RU,False
1,2024-01-04,2.82,USD,crypto,atm,RU,False
1,2024-01-04,148.44,USD,gambling,pos,SG,False
1,2024-01-03,42.06,USD,entertainment,atm,NG,False
1,2024-01-05,141.15,USD,crypto,pos,DE,False
1,2024-01-02,89.76,USD,gambling,online,RU,False
1,2024-01-02,162.8,USD,grocery,online,US,False
1,2024-01-01,24.15,USD,electronics,atm,IN,False
1,2024-01-04,454.35,USD,grocery,pos,US,False
1,2024-01-02,175.01,USD,grocery,atm,US,False
1,2024-01-03,166.49,USD,grocery,online,IN,False
1,2024-01-04,285.42,USD,entertainment,atm,US,False
1,2024-01-03,10.36,USD,travel,pos,IN,False
1,2024-01-09,85.16,USD,entertainment,atm,DE,True
1,2024-01-04,27.48,USD,gambling,online,US,False
1,2024-01-04,118.48,USD,electronics,atm,RU,False
1,2024-01-02,158.58,USD,electronics,online,DE,False
1,2024-01-02,101.26,USD,entertainment,atm,IN,False
1,2024-01-03,144.67,USD,gambling,atm,US,False
1,2024-01-12,103.72,USD,travel,pos,UK,False
1,2024-01-06,45.2,USD,grocery,online,NG,False
1,2024-01-07,162.27,USD,grocery,atm,IN,False
1,2024-01-02,112.92,USD,travel,online,IN,False
1,2024-01-05,84.18,USD,grocery,online,DE,False
1,2024-01-02,216.78,USD,grocery,online,DE,False
1,2024-01-16,69.73,USD,crypto,online,NG,False
1,2024-01-17,138.44,USD,crypto,online,RU,False
1,2024-01-04,23.27,USD,entertainment,pos,UK,False
1,2024-01-24,16.37,USD,entertainment,pos,UK,False
1,2024-01-10,113.38,USD,electronics,atm,UK,False
