customer_id,txn_count,total_amount,max_amount,mean_amount,rules_score_mean,night_txn_ratio,high_risk_mcc_ratio,suspicious_country_ratio,chargeback_rate
1,77,9445.76,454.35,122.6722077922078,1.7987012987012987,1.0,0.2727272727272727,0.2597402597402597,0.03896103896103896
2,81,7959.41,383.9,98.26432098765432,2.0,1.0,0.345679012345679,0.32098765432098764,0.012345679012345678
3,68,7864.87,458.64,115.65985294117647,1.9485294117647058,1.0,0.36764705882352944,0.2647058823529412,0.04411764705882353
4,90,9534.66,292.57,105.94066666666666,1.9666666666666666,1.0,0.35555555555555557,0.28888888888888886,0.03333333333333333
5,88,9547.37,483.65,108.49284090909092,1.9204545454545454,1.0,0.3977272727272727,0.2159090909090909,0.045454545454545456
6,80,8608.82,337.48,107.61025,2.05,1.0,0.375,0.325,0.0125
7,72,7010.4400000000005,348.0,97.36722222222222,1.875,1.0,0.3055555555555556,0.2777777777777778,0.06944444444444445
8,78,7900.55,282.15,101.28910256410256,1.8846153846153846,1.0,0.23076923076923078,0.358974358974359,0.01282051282051282
9,98,10147.69,419.74,103.54785714285715,1.903061224489796,1.0,0.3469387755102041,0.25510204081632654,0.01020408163265306
10,81,8820.44,277.1,108.89432098765432,2.0,1.0,0.32098765432098764,0.345679012345679,0.04938271604938271
11,88,8026.16,373.31,91.20636363636363,1.8011363636363635,1.0,0.2840909090909091,0.25,0.011363636363636364
12,89,18153.87,1364.24,203.9760674157303,2.365168539325843,1.0,0.42696629213483145,0.4157303370786517,0.02247191011235955
13,84,8570.67,300.57,102.03178571428572,1.9285714285714286,1.0,0.34523809523809523,0.27380952380952384,0.023809523809523808
14,83,15828.210000000001,2332.17,190.70132530120483,2.397590361445783,1.0,0.46987951807228917,0.39759036144578314,0.0
15,64,7785.55,341.48,121.64921875,1.9609375,1.0,0.375,0.265625,0.0
16,67,6384.01,276.86,95.28373134328359,1.828358208955224,1.0,0.2537313432835821,0.29850746268656714,0.014925373134328358
17,91,8415.74,278.99,92.48065934065934,2.1538461538461537,1.0,0.4065934065934066,0.3626373626373626,0.06593406593406594
18,81,8336.5,328.25,102.91975308641975,1.8703703703703705,1.0,0.2962962962962963,0.2839506172839506,0.037037037037037035
19,69,5884.01,297.23,85.27550724637682,1.826086956521739,1.0,0.34782608695652173,0.2028985507246377,0.043478260869565216
20,87,9227.99,365.45,106.06885057471264,2.0172413793103448,1.0,0.3793103448275862,0.2988505747126437,0.04597701149425287
21,77,7306.92,444.03,94.89506493506494,1.9350649350649352,1.0,0.37662337662337664,0.24675324675324675,0.03896103896103896
22,71,6668.28,300.85,93.91943661971831,2.1619718309859155,1.0,0.39436619718309857,0.38028169014084506,0.014084507042253521
23,84,9670.07,334.46,115.11988095238095,1.9821428571428572,1.0,0.4166666666666667,0.23809523809523808,0.011904761904761904
24,90,9656.93,336.82,107.29922222222223,1.85,1.0,0.3,0.26666666666666666,0.03333333333333333
25,85,9581.31,397.55,112.72129411764705,1.8823529411764706,1.0,0.3411764705882353,0.24705882352941178,0.03529411764705882
